roll_no,project1,proof1,project2,proof2,project3,proof3,project4,proof4,project5,proof5
CB.EN.U4CSE17401,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17402,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17403,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17404,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17405,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17406,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17407,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17408,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17409,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17410,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
